time,uo,vo,Ocean_Health_Index,Fisheries_Index
2001-01-01,0.010992947,-0.010329457,78.5,76.0
2001-02-01,0.13012645,0.0050044265,79.36591385739084,75.92026631136497
2001-03-01,0.044394616,0.0032622996,80.17798938511471,75.68424397601154
2001-04-01,-0.088589765,-0.023880031,80.88573566008166,75.30134245963872
2001-05-01,-0.1570405,-0.0110072065,81.44514844682763,74.78682683738866
2001-06-01,-0.17024985,0.0014337027,81.82144616774455,74.16120922347255
2001-07-01,-0.1617291,0.011581616,81.9912324531142,73.44943101790669
2001-08-01,-0.14841348,0.022657938,81.94395081405878,72.67986857160096
2001-09-01,-0.15569647,-0.004727034,81.68254099388989,71.88320191079484
2001-10-01,-0.115657896,-0.012367005,81.22325618910773,71.09119162122765
2001-11-01,-0.07293131,-0.027733756,80.59465250436385,70.33541265381143
2001-12-01,0.083871864,0.0064929887,79.83581347218316,69.64599553097861
2002-01-01,0.07772886,0.012330561,78.99392002820953,69.05042513783502
2002-02-01,0.13876145,0.021373639,78.12131702914462,68.5724449865242
2002-03-01,-0.026001342,-0.0024138333,77.27225870308634,68.23111063732537
2002-04-01,-0.12626626,-0.022447009,76.4995353844018,68.04003001359821
2002-05-01,-0.16326402,0.00120943,75.85119126642225,68.00682089682098
2002-06-01,-0.1555181,0.022711156,75.36753724619996,68.13280722968216
2002-07-01,-0.15714413,0.016917279,75.07864458817215,68.41296633466341
2002-08-01,-0.1511151,0.024012133,75.00247523858617,68.83612915234234
2002-09-01,-0.14162585,-0.00038556565,75.14376503867902,69.38542551654555
2002-10-01,-0.11483079,-0.009539427,75.49372927300693,70.03895671463721
2002-11-01,-0.13031505,-0.016135322,76.03060886050363,70.77066852008632
2002-12-01,-0.014639073,-0.02326831,76.7210232287526,71.55138989225978
2003-01-01,0.07741179,-0.0035468945,77.52204575630375,72.34999593375778
2003-02-01,0.08963994,0.0034031956,78.38387274208355,73.1346487418529
2003-03-01,0.023419887,-0.0010337818,79.25291995830736,73.87406668520151
2003-04-01,-0.13714866,-0.018004905,80.07515425823216,74.53877150377053
2003-05-01,-0.15454595,0.0006262725,80.79945309551576,75.102263514041
2003-06-01,-0.15399657,0.00873562,81.38078307654027,75.54207806776527
2003-07-01,-0.15702309,0.01822594,81.78299991871158,75.84068114660147
2003-08-01,-0.14544201,0.0015295023,81.98109572688912,75.98616838809286
2003-09-01,-0.13301575,-0.014212519,81.96275386318183,75.97273967503277
2003-10-01,-0.10330061,-0.023414085,81.7291147358377,75.80093036783411
2003-11-01,-0.10961936,-0.023583306,81.29470489418222,75.4775899613993
2003-12-01,0.043673854,-0.017138263,80.68653383813967,75.01560901737322
2004-01-01,0.06375368,0.008412408,79.94241469834614,74.43340525812901
2004-02-01,0.112932846,0.009948048,79.10861319883152,73.75418931029756
2004-03-01,0.068517484,0.008984882,78.23697107838366,73.00503937032903
2004-04-01,-0.13469543,-0.011107258,77.38168282232205,72.21582168225059
2004-05-01,-0.13597703,-0.021970764,76.59592611188721,71.41799986476555
